"Disco/DT Kg 2,000"
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
54.06,,SACCOMANO Enrico,01,ATLETICA MALIGNANI LIBERTAS UD,1 su- 1,Majano,25/04/2023
53.73,,FORGIARINI Valerio,94,ASSINDUSTRIA SPORT,5 su- 1,Rieti,25/02/2023
53.72,,DI MARCO Nazzareno,85,G.S. FIAMME ORO PADOVA,1 su- 1,Pietrasanta,10/06/2023
53.68,,SACCOMANO Enrico,01,ATLETICA MALIGNANI LIBERTAS UD,1 su- 1,Pordenone,06/05/2023
53.50,,MUSCI Carmelo alessandro,01,G.A. FIAMME GIALLE,2 su- 1,Narni,05/02/2023
52.92,,BUZZANCA Gioele,96,ATLETICA ARCOBALENO SAVONA,1 su- 1,Fabriano,25/06/2023
,(50)/2023
52.82,,MASIANI Samuele,01,BATTAGLIO C.U.S. TORINO ATL,4 su- 1,Donnas,27/05/2023
52.80,,MASIANI Samuele,01,BATTAGLIO C.U.S. TORINO ATL,2 su- 1,Fabriano,25/06/2023
52.56,,FORGIARINI Valerio,94,ASSINDUSTRIA SPORT,4 su- 1,Bergamo,10/06/2023
52.46,,D'ALESSANDRO Danilo,99,PROSPORT ATL. FIRENZE,6 su- 1,Rieti,25/02/2023
52.43,,ROSSI SABATINI Gabriele,98,TEAM ATLETICA MARCHE,3 su- 1,Agropoli,10/06/2023
52.38,,MUSCI Carmelo alessandro,01,G.A. FIAMME GIALLE,2 su- 1,Rieti,25/02/2023
52.17,,VOLKOVS Aleksandrs,99,RUNNING CLUB NAPOLI,1 su- 1,MurjÄ€Å…i,19/05/2023
51.83,,ZEUDJIO TCHIOFO Simon,01,C.U.S. PARMA,3 su- 1,Fabriano,25/06/2023
51.80,,VOLKOVS Aleksandrs,99,RUNNING CLUB NAPOLI,1 su- 1,Cesis,13/05/2023
51.76,,FORGIARINI Valerio,94,ASSINDUSTRIA SPORT,1 su- 1,Conegliano,05/02/2023
,(60)/2023
51.61,,VAILATI Paolo,95,N.ATL. FANFULLA LODIGIANA,1 su- 1,Cremona,23/04/2023
51.41,,MUSCI Carmelo alessandro,01,G.A. FIAMME GIALLE,1 su- 1,Molfetta,13/05/2023
51.40,,D'ALESSANDRO Danilo,99,PROSPORT ATL. FIRENZE,3 su- 1,Latina,30/06/2023
51.39,,APOLLONI Federico,87,ATLETICA FIRENZE MARATHON S.S.,1 su- 1,Palermo,10/06/2023
51.37,,BUZZANCA Gioele,96,ATLETICA ARCOBALENO SAVONA,1 su- 1,Boissano,20/05/2023
51.33,,FORGIARINI Valerio,94,ASSINDUSTRIA SPORT,1 su- 1,Trieste,12/02/2023
51.23,,D'ALESSANDRO Danilo,99,PROSPORT ATL. FIRENZE,1 su- 1,Livorno,12/02/2023
51.22,,BUZZANCA Gioele,96,ATLETICA ARCOBALENO SAVONA,1 su- 1,Genova,11/02/2023
51.10,,D'ALESSANDRO Danilo,99,PROSPORT ATL. FIRENZE,1 su- 1,Sesto Fiorentino,21/06/2023
51.07,,VAILATI Paolo,95,N.ATL. FANFULLA LODIGIANA,1 su- 1,Crema,20/05/2023
,(70)/2023
50.87,,ZEUDJIO TCHIOFO Simon,01,C.U.S. PARMA,1 su- 1,Piacenza,16/04/2023
50.85,,VAILATI Paolo,95,N.ATL. FANFULLA LODIGIANA,1 su- 1,Varese,16/04/2023
50.77,,ZEUDJIO TCHIOFO Simon,01,C.U.S. PARMA,1 su- 1,Bologna,27/05/2023
50.76,,FERRIOLI Enrico,00,ASD ELITE ACADEMY BARI,8 su- 1,Rieti,25/02/2023
50.72,,BUZZANCA Gioele,96,ATLETICA ARCOBALENO SAVONA,5 su- 1,Donnas,27/05/2023
50.69,,FERRIOLI Enrico,00,ASD ELITE ACADEMY BARI,1 su- 1,Bari,06/05/2023
50.61,,MASCALI Isidoro marco,98,A.S.D. ATLETICA FUTURA ROMA,2 su- 1,Pietrasanta,10/06/2023
50.56,,FORGIARINI Valerio,94,ASSINDUSTRIA SPORT,1 su- 1,Caorle,27/05/2023
50.53,,ZEUDJIO TCHIOFO Simon,01,C.U.S. PARMA,1 su- 1,La Spezia,29/01/2023
50.52,,FERRARA Riccardo,01,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Siracusa,13/05/2023
,(80)/2023
50.51,,FERRIOLI Enrico,00,ASD ELITE ACADEMY BARI,1 su- 1,Bari,20/05/2023
50.44,,VAILATI Paolo,95,N.ATL. FANFULLA LODIGIANA,1 se- 3,Saronno,13/05/2023
50.25,,MASCALI Isidoro marco,98,A.S.D. ATLETICA FUTURA ROMA,1 su- 1,Reggio Di Calabria,04/02/2023
50.25,,VAILATI Paolo,95,N.ATL. FANFULLA LODIGIANA,1 su- 1,Rovellasca,28/06/2023
50.24,,D'ALESSANDRO Danilo,99,PROSPORT ATL. FIRENZE,1 su- 1,Lucca,22/01/2023
50.23,,ZEUDJIO TCHIOFO Simon,01,C.U.S. PARMA,3 su- 1,Rieti,25/02/2023
50.22,,D'ALESSANDRO Danilo,99,PROSPORT ATL. FIRENZE,1 su- 1,Palermo,20/05/2023
50.18,,BUZZANCA Gioele,96,ATLETICA ARCOBALENO SAVONA,4 su- 1,Mondovi,02/06/2023
50.13,,BUZZANCA Gioele,96,ATLETICA ARCOBALENO SAVONA,1 su- 1,Genova,06/05/2023
50.10,,MASIANI Samuele,01,BATTAGLIO C.U.S. TORINO ATL,3 su- 1,Agropoli,17/06/2023
,(90)/2023
50.09,,ZEUDJIO TCHIOFO Simon,01,C.U.S. PARMA,4 su- 1,Agropoli,17/06/2023
49.90,,MASIANI Samuele,01,BATTAGLIO C.U.S. TORINO ATL,3 su- 1,Pietrasanta,10/06/2023
49.87,,MASIANI Samuele,01,BATTAGLIO C.U.S. TORINO ATL,5 su- 1,Mondovi,02/06/2023
49.82,,BIANCHETTI Sebastiano,96,G.S. FIAMME ORO PADOVA,2 su- 1,Palermo,10/06/2023
49.67,,FASSINA Andrea,98,TEAM-A LOMBARDIA,1 su- 1,Brescia,14/06/2023
49.66,,FERRIOLI Enrico,00,ASD ELITE ACADEMY BARI,3 su- 1,San Benedetto Del Tronto,29/01/2023
49.55,,D'ALESSANDRO Danilo,99,PROSPORT ATL. FIRENZE,1 su- 1,Firenze,29/04/2023
49.55,,ZEUDJIO TCHIOFO Simon,01,C.U.S. PARMA,1 su- 1,Modena,13/05/2023
49.54,,DOLCIAMI Alessio,88,ASS.ATL.LIBERTAS ORVIETO,4 su- 1,CittÃ  Di Castello,18/05/2023
49.51,,ZEUDJIO TCHIOFO Simon,01,C.U.S. PARMA,5 su- 1,Bergamo,10/06/2023
,(100)/2023
